"Muestra","Grupo","1-monoolein","1-monostearin","2-hydroxybutanoic acid","2-hydroxyglutaric acid","2-ketoisocaproic acid","2-monopalmitin","2-monostearin NIST","3-aminoisobutyric acid","3-hydroxybutanoic acid","3-hydroxypropionic acid","3-phenyllactic acid","5-aminovaleric acid","acetohydroxamic acid","acetophenone NIST","adipic acid","alanine","alpha ketoglutaric acid","aminomalonate","arabinose","arabitol","arachidic acid","arachidonic acid","arginine + ornithine","asparagine","aspartic acid","behenic acid","benzoic acid","benzylalcohol","beta-alanine","beta-gentiobiose","beta-sitosterol","caffeic acid","cerotic acid","cholesterol","citric acid","citrulline","creatinine","cyano-L-alanine","cysteine","cystine","dihydroabietic acid","elaidic acid","erythritol","ethanolamine","fructose","fucose 1 + rhamnose 2","fucose 2","fumaric acid","GABA","galactose","galacturonic acid","gamma-tocopherol","gluconic acid","glucose","glucuronic acid","glutamic acid","glutamine","glutaric acid","glyceric acid","glycerol","glycerol-3-galactoside NIST","glycerol-alpha-phosphate","glycine","glycolic acid","glycyl proline","guanine","guanosine","heptadecanoic acid","homoserine","hydrocinnamic acid","hydroxycarbamate NIST","hydroxylamine","icosenoic acid","indole-3-acetate","indole-3-lactate","inosine","inositol-4-monophosphate","inositol myo-","isoleucine","isolinoleic acid NIST","isothreonic acid","lactic acid","lanosterol","lauric acid","leucine","levanbiose","levoglucosan","lignoceric acid","linoleic acid","lysine","lyxitol","malate","maleimide","methanolphosphate","methionine","methionine sulfoxide","monomyristin NIST","monopalmitin-1-glyceride","myristic acid","naphtalene","N-methylalanine","nonadecanoic acid","octadecanol","oleic acid","ornithine","orotic acid","oxoproline","palatinose","palmitic acid","palmitoleic acid","pelargonic acid","pentadecanoic acid","phenylalanine","phosphoric acid","proline","putrescine","pyruvate","ribitol","ribose","serine","shikimic acid","sorbitol","spermidine","stearic acid","succinic acid","sucrose","taurine","threitol","threonic acid","threonine","tocopherol","trehalose","tryptophan","tyramine","tyrosine","uracil","urea","uric acid","uridine","valine","xanthine","xylose"
"D_684508","Despues","60.470.000","97.710.000","132.380.000","71.600.000","8.120.000","15.110.000","20.600.000","91.470.000","193.810.000","21.660.000","26.330.000","15.011.900.000","6.620.000","33.820.000","8.250.000","12.702.810.000","2.400.000","25.110.000","8.670.000","15.340.000","9.240.000","354.690.000","1.824.570.000","202.020.000","995.480.000","81.400.000","47.140.000","27.720.000","10.750.000","6.160.000","45.270.000","11.070.000","6.740.000","8.340.100.000","38.490.000","407.750.000","1.705.450.000","1.070.000","186.790.000","111.160.000","6.470.000","190.690.000","18.500.000","3.044.320.000","2.310.000","1.966.140.000","524.750.000","56.690.000","101.860.000","40.260.000","152.230.000","3.940.000","950.000","381.290.000","25.000.000","1.489.510.000","1.274.790.000","3.820.000","61.240.000","679.650.000","3.840.000","28.720.000","2.765.490.000","11.740.000","99.970.000","35.690.000","5.230.000","211.210.000","10.560.000","12.050.000","3.550.000","45.670.000","2.325.020.000","28.070.000","25.000.000","10.200.000","5.380.000","13.930.000","8.700.420.000","149.000.000","4.100.000","141.880.000","18.720.000","102.480.000","1.365.690.000","1.490.000","78.400.000","19.520.000","266.010.000","8.240.150.000","30.450.000","21.970.000","107.740.000","7.936.310.000","2.132.510.000","190.610.000","2.230.000","110.090.000","38.390.000","34.180.000","1.676.810.000","24.340.000","15.960.000","528.410.000","743.820.000","5.870.000","884.500.000","9.110.000","2.504.330.000","351.300.000","46.330.000","47.430.000","6.371.040.000","16.656.330.000","7.430.410.000","13.582.540.000","7.780.000","15.580.000","130.110.000","1.923.970.000","130.550.000","19.030.000","36.210.000","13.405.010.000","3.882.260.000","3.950.000","119.730.000","13.220.000","1.890.000","1.125.350.000","7.480.000","12.410.000","8.864.330.000","7.615.570.000","11.428.920.000","614.450.000","980.000","303.870.000","3.510.000","11.246.330.000","37.040.000","35.330.000"
"D_684512","Despues","29.020.000","65.210.000","297.740.000","115.010.000","20.110.000","6.220.000","9.380.000","405.220.000","112.030.000","85.940.000","74.800.000","8.365.340.000","28.770.000","107.450.000","34.900.000","13.914.690.000","3.470.000","59.030.000","9.650.000","11.470.000","8.740.000","87.880.000","968.050.000","182.880.000","3.055.980.000","140.170.000","743.530.000","145.430.000","20.130.000","11.990.000","149.370.000","34.990.000","27.730.000","21.659.330.000","19.430.000","185.570.000","215.610.000","4.800.000","301.620.000","137.040.000","22.700.000","99.960.000","6.240.000","2.938.170.000","8.540.000","1.216.560.000","385.930.000","668.790.000","648.250.000","72.200.000","133.900.000","25.550.000","3.360.000","1.484.550.000","125.270.000","1.563.030.000","1.539.560.000","36.530.000","28.450.000","609.280.000","4.530.000","28.050.000","6.679.890.000","41.940.000","283.510.000","22.370.000","63.590.000","155.420.000","5.570.000","233.850.000","26.540.000","248.960.000","120.100.000","27.350.000","226.140.000","44.170.000","38.040.000","86.860.000","6.803.560.000","109.160.000","12.620.000","136.430.000","47.190.000","549.950.000","13.843.040.000","7.300.000","70.810.000","107.430.000","55.020.000","6.588.920.000","21.850.000","41.150.000","99.740.000","2.450.850.000","1.053.580.000","302.650.000","4.910.000","59.890.000","84.400.000","259.470.000","1.059.420.000","46.880.000","53.910.000","63.390.000","592.610.000","13.050.000","892.430.000","15.190.000","1.315.420.000","215.830.000","148.090.000","185.140.000","4.983.670.000","10.400.210.000","15.152.380.000","11.625.860.000","8.970.000","15.890.000","272.160.000","4.732.270.000","96.650.000","69.680.000","56.120.000","6.867.860.000","1.007.850.000","15.310.000","547.540.000","6.830.000","4.960.000","2.145.080.000","12.130.000","39.280.000","3.718.710.000","4.952.140.000","10.477.830.000","1.351.100.000","119.900.000","7.140.000","38.940.000","12.276.420.000","88.420.000","32.670.000"
"D_684516","Despues","14.520.000","13.020.000","41.340.000","32.020.000","7.380.000","8.830.000","3.970.000","227.590.000","117.110.000","31.240.000","33.050.000","7.112.490.000","19.520.000","67.590.000","14.170.000","8.614.320.000","2.150.000","17.360.000","14.270.000","12.320.000","59.410.000","87.000.000","504.490.000","187.150.000","1.559.950.000","289.150.000","50.030.000","63.830.000","7.830.000","3.810.000","49.370.000","7.690.000","13.190.000","1.491.240.000","7.780.000","161.200.000","634.100.000","2.370.000","82.260.000","39.750.000","7.570.000","243.880.000","10.030.000","4.424.210.000","2.400.000","89.610.000","30.690.000","29.830.000","125.190.000","458.690.000","57.520.000","13.350.000","1.350.000","457.700.000","18.810.000","786.420.000","842.610.000","11.350.000","28.650.000","1.901.130.000","3.400.000","20.130.000","3.859.360.000","17.490.000","92.920.000","980.000","2.260.000","393.700.000","4.330.000","478.910.000","3.900.000","76.620.000","136.390.000","6.350.000","11.300.000","3.840.000","1.730.000","52.490.000","2.763.950.000","223.190.000","1.660.000","67.930.000","6.970.000","231.470.000","4.342.940.000","2.020.000","3.560.000","111.980.000","269.990.000","3.956.030.000","7.950.000","12.810.000","24.710.000","4.296.550.000","611.130.000","56.810.000","2.280.000","11.620.000","126.870.000","9.020.000","284.440.000","44.040.000","15.490.000","510.430.000","552.220.000","4.630.000","499.030.000","2.920.000","4.611.970.000","85.830.000","74.140.000","48.170.000","2.518.180.000","72.041.900.000","3.311.850.000","15.187.930.000","9.370.000","9.020.000","174.920.000","1.996.590.000","82.850.000","53.720.000","98.470.000","26.572.340.000","120.470.000","2.240.000","45.360.000","4.810.000","1.790.000","1.309.600.000","3.860.000","15.530.000","1.890.270.000","2.826.250.000","4.520.880.000","586.490.000","1.880.000","38.990.000","2.830.000","6.528.350.000","46.680.000","18.480.000"
"D_684520","Despues","34.280.000","27.810.000","44.190.000","172.380.000","25.500.000","7.960.000","9.390.000","187.150.000","14.260.000","47.410.000","7.340.000","6.198.700.000","27.880.000","49.020.000","21.450.000","9.964.520.000","16.600.000","75.090.000","46.820.000","7.530.000","28.430.000","93.000.000","938.690.000","921.780.000","3.308.640.000","118.430.000","220.500.000","80.680.000","58.390.000","6.730.000","77.290.000","21.610.000","20.270.000","8.549.290.000","235.700.000","162.940.000","7.940.000","3.420.000","53.410.000","271.070.000","8.550.000","51.150.000","2.320.000","6.129.370.000","28.980.000","455.930.000","125.270.000","357.200.000","388.460.000","47.500.000","30.810.000","8.600.000","7.430.000","1.115.370.000","25.760.000","2.992.970.000","2.266.720.000","8.070.000","167.240.000","2.033.160.000","6.060.000","155.050.000","9.152.360.000","25.410.000","170.540.000","200.920.000","120.450.000","140.750.000","7.110.000","98.550.000","16.990.000","195.810.000","34.840.000","6.020.000","5.090.000","261.400.000","9.390.000","74.850.000","7.572.830.000","32.880.000","1.860.000","165.490.000","78.270.000","281.920.000","3.409.570.000","10.740.000","7.960.000","61.390.000","29.720.000","6.424.250.000","7.430.000","27.720.000","23.730.000","5.601.690.000","1.113.660.000","126.170.000","2.280.000","27.930.000","53.160.000","117.420.000","113.690.000","26.900.000","29.580.000","33.120.000","664.470.000","5.110.000","1.265.860.000","5.550.000","728.830.000","83.010.000","250.110.000","48.420.000","3.079.660.000","46.948.460.000","6.138.320.000","140.100.000","35.220.000","6.830.000","738.630.000","5.621.220.000","15.350.000","35.610.000","188.210.000","11.952.470.000","6.949.870.000","26.230.000","6.200.000","50.840.000","3.170.000","3.388.720.000","29.960.000","30.970.000","3.337.470.000","4.741.740.000","7.428.120.000","1.480.650.000","2.570.000","10.380.000","41.080.000","9.922.470.000","100.890.000","129.020.000"
"D_684524","Despues","29.850.000","57.890.000","133.340.000","203.760.000","8.710.000","6.230.000","12.390.000","89.640.000","44.100.000","34.410.000","9.430.000","1.263.750.000","14.450.000","30.940.000","14.390.000","14.046.660.000","8.790.000","51.870.000","13.700.000","75.860.000","5.520.000","120.340.000","800.620.000","560.700.000","2.013.880.000","61.390.000","163.770.000","72.700.000","7.360.000","13.430.000","206.300.000","19.290.000","16.360.000","3.813.490.000","146.810.000","228.210.000","1.716.200.000","3.900.000","206.320.000","289.250.000","9.270.000","6.580.000","62.700.000","5.639.610.000","20.170.000","1.123.180.000","335.700.000","116.840.000","130.150.000","309.790.000","676.620.000","4.910.000","1.960.000","492.020.000","947.050.000","1.749.350.000","1.826.230.000","4.420.000","79.580.000","1.139.900.000","6.570.000","41.970.000","19.888.500.000","19.000.000","132.630.000","1.140.000","6.210.000","53.460.000","6.060.000","11.990.000","8.000.000","200.970.000","91.180.000","2.330.000","6.170.000","17.810.000","1.420.000","304.900.000","6.808.400.000","49.180.000","14.910.000","223.890.000","11.160.000","144.580.000","17.374.240.000","6.870.000","48.350.000","1.745.310.000","37.790.000","6.698.750.000","37.520.000","53.740.000","60.260.000","481.240.000","1.400.440.000","118.430.000","2.620.000","35.580.000","24.690.000","89.490.000","160.930.000","14.090.000","23.720.000","94.600.000","628.350.000","5.430.000","1.590.010.000","2.438.670.000","787.990.000","23.250.000","137.090.000","25.650.000","4.875.280.000","24.988.850.000","7.951.660.000","4.785.140.000","47.840.000","149.870.000","86.550.000","3.691.810.000","96.110.000","1.164.830.000","19.760.000","3.438.660.000","680.930.000","17.020.000","31.940.000","26.310.000","5.870.000","2.117.320.000","5.130.000","2.210.000","3.139.880.000","6.542.530.000","7.461.960.000","63.800.000","5.979.230.000","5.237.180.000","6.370.000","13.944.360.000","25.210.000","20.700.000"
"D_684528","Despues","163.340.000","43.380.000","21.150.000","11.090.000","6.280.000","57.160.000","10.650.000","123.660.000","33.560.000","22.180.000","5.410.000","1.505.800.000","7.830.000","42.000.000","10.780.000","2.000.220.000","1.120.000","4.130.000","7.390.000","5.580.000","64.670.000","76.340.000","321.190.000","53.530.000","340.840.000","151.340.000","50.280.000","35.410.000","3.540.000","4.250.000","90.300.000","14.020.000","21.870.000","3.787.190.000","6.640.000","59.510.000","135.630.000","1.280.000","16.960.000","16.830.000","8.810.000","951.700.000","1.580.000","3.703.120.000","1.610.000","333.140.000","90.610.000","17.040.000","58.190.000","60.910.000","23.330.000","13.090.000","480.000","179.730.000","4.750.000","289.470.000","222.100.000","2.230.000","10.950.000","1.291.130.000","1.070.000","18.470.000","827.480.000","10.040.000","108.030.000","1.060.000","2.960.000","1.018.910.000","1.610.000","7.170.000","9.040.000","116.680.000","466.010.000","810.000","2.350.000","4.970.000","3.230.000","3.570.000","1.591.570.000","123.240.000","1.520.000","33.650.000","17.010.000","127.680.000","1.072.110.000","1.640.000","4.740.000","74.990.000","44.400.000","1.014.400.000","3.620.000","2.270.000","14.940.000","3.033.470.000","233.660.000","27.730.000","5.560.000","258.210.000","176.390.000","77.480.000","82.440.000","135.870.000","22.890.000","645.280.000","37.600.000","1.350.000","173.430.000","3.730.000","4.760.700.000","112.580.000","83.290.000","99.520.000","929.870.000","125.439.920.000","574.760.000","2.480.890.000","2.640.000","7.510.000","39.010.000","552.160.000","13.010.000","25.080.000","29.730.000","31.367.800.000","218.990.000","1.940.000","5.100.000","7.170.000","1.280.000","338.220.000","12.480.000","12.090.000","568.650.000","165.540.000","1.719.080.000","106.780.000","1.340.000","5.800.000","2.420.000","2.220.100.000","14.670.000","7.580.000"
"A_684483","Antes","2.441.420.000","168.480.000","115.870.000","82.760.000","20.960.000","34.050.000","64.780.000","599.440.000","55.060.000","83.190.000","24.260.000","769.640.000","90.800.000","159.990.000","29.800.000","6.485.130.000","16.760.000","38.610.000","35.350.000","29.610.000","45.880.000","69.030.000","411.850.000","219.150.000","256.720.000","520.300.000","372.980.000","191.710.000","16.990.000","20.960.000","89.390.000","12.090.000","29.270.000","2.118.570.000","123.210.000","99.260.000","2.873.100.000","6.880.000","57.360.000","293.500.000","9.520.000","282.820.000","132.320.000","16.512.010.000","16.490.000","418.930.000","117.550.000","245.210.000","112.230.000","12.501.170.000","22.880.000","12.810.000","4.550.000","39.370.100.000","332.300.000","1.021.700.000","347.840.000","9.750.000","80.160.000","8.983.350.000","224.540.000","25.440.000","9.301.110.000","69.410.000","8.720.000","5.540.000","13.460.000","552.790.000","3.900.000","29.840.000","10.290.000","343.320.000","156.850.000","8.380.000","6.730.000","24.720.000","3.090.000","169.550.000","3.023.990.000","24.410.000","19.320.000","1.666.840.000","21.770.000","424.640.000","4.770.920.000","52.000.000","187.000.000","200.360.000","190.100.000","2.198.320.000","28.010.000","33.320.000","29.770.000","16.560.000","191.520.000","152.560.000","14.800.000","127.120.000","96.080.000","27.430.000","142.920.000","54.640.000","47.640.000","1.064.100.000","225.570.000","16.760.000","1.190.650.000","7.610.000","2.206.960.000","74.160.000","349.830.000","105.760.000","1.111.130.000","8.316.980.000","3.441.400.000","928.370.000","157.040.000","291.280.000","33.020.000","698.200.000","7.990.000","348.030.000","12.660.000","27.404.050.000","610.530.000","8.640.000","5.240.000","81.350.000","11.700.000","297.250.000","8.450.000","101.550.000","1.436.970.000","1.635.340.000","2.485.200.000","243.100.000","13.842.860.000","2.698.720.000","5.280.000","4.306.440.000","6.270.000","90.490.000"
"A _684487","Antes","69.680.000","102.060.000","656.350.000","124.020.000","34.720.000","31.960.000","178.450.000","366.130.000","40.030.000","565.210.000","125.570.000","5.115.620.000","52.700.000","136.960.000","20.470.000","16.938.130.000","26.020.000","17.720.000","31.880.000","25.080.000","71.800.000","292.290.000","859.260.000","251.040.000","1.770.590.000","429.600.000","161.140.000","113.180.000","11.820.000","9.280.000","73.370.000","7.510.000","28.770.000","1.653.950.000","69.720.000","65.610.000","1.190.650.000","1.920.000","51.410.000","9.570.000","13.000.000","1.005.570.000","179.460.000","8.230.240.000","18.700.000","1.227.730.000","351.790.000","64.560.000","265.480.000","95.920.000","107.480.000","19.620.000","6.750.000","124.220.000","71.510.000","2.017.920.000","727.950.000","12.910.000","150.240.000","287.200.000","9.330.000","121.490.000","3.423.560.000","42.340.000","118.640.000","2.140.000","2.180.000","1.100.990.000","7.640.000","18.760.000","6.000.000","146.130.000","424.530.000","14.390.000","85.760.000","4.040.000","2.940.000","35.460.000","6.848.280.000","293.910.000","5.680.000","2.131.830.000","14.440.000","366.520.000","9.201.810.000","270.090.000","46.380.000","157.410.000","507.680.000","1.129.920.000","16.320.000","151.400.000","47.960.000","10.220.000","370.830.000","99.440.000","4.300.000","108.620.000","361.540.000","15.160.000","1.444.460.000","118.640.000","34.150.000","1.743.100.000","230.940.000","43.480.000","1.113.120.000","1.528.480.000","7.252.800.000","503.370.000","156.340.000","170.820.000","2.713.100.000","3.292.480.000","1.089.260.000","27.772.420.000","133.630.000","65.880.000","10.550.000","330.050.000","10.330.000","1.919.980.000","66.770.000","53.701.060.000","1.176.920.000","1.920.000","11.380.000","20.640.000","4.540.000","863.260.000","7.270.000","865.290.000","1.064.500.000","3.314.260.000","3.558.770.000","202.950.000","111.410.000","18.960.000","2.530.000","9.181.950.000","18.280.000","127.300.000"
"A_684491","Antes","19.280.000","93.980.000","324.330.000","209.640.000","106.690.000","14.570.000","30.250.000","1.205.540.000","211.190.000","194.350.000","170.480.000","19.128.500.000","45.540.000","344.970.000","67.790.000","23.150.680.000","13.800.000","32.310.000","29.860.000","37.210.000","8.250.000","94.040.000","1.264.180.000","430.700.000","831.540.000","164.230.000","415.800.000","351.940.000","20.770.000","16.120.000","57.660.000","84.560.000","66.890.000","2.707.940.000","301.950.000","90.240.000","1.019.440.000","38.830.000","58.500.000","10.960.000","25.090.000","45.660.000","21.350.000","24.580.260.000","93.010.000","5.484.330.000","1.615.410.000","58.950.000","2.358.320.000","75.920.000","430.310.000","17.990.000","30.180.000","621.060.000","756.000.000","7.060.980.000","871.980.000","20.960.000","63.150.000","917.010.000","7.740.000","7.740.000","9.941.600.000","96.690.000","49.920.000","4.640.000","6.830.000","267.110.000","14.570.000","550.230.000","18.440.000","409.280.000","905.400.000","10.510.000","45.600.000","19.800.000","6.640.000","196.480.000","2.359.610.000","95.530.000","16.310.000","4.647.630.000","45.080.000","1.333.520.000","2.427.080.000","15.800.000","81.590.000","80.690.000","70.950.000","5.724.160.000","48.370.000","38.180.000","26.180.000","9.540.000","361.680.000","85.720.000","10.120.000","105.590.000","115.460.000","41.790.000","7.726.220.000","47.210.000","167.580.000","126.490.000","119.070.000","6.570.000","2.114.810.000","10.960.000","1.748.030.000","141.710.000","648.530.000","105.780.000","1.619.990.000","7.979.150.000","679.760.000","8.160.860.000","217.120.000","39.280.000","46.180.000","1.677.140.000","15.800.000","248.410.000","61.860.000","10.349.280.000","5.062.590.000","29.990.000","8.570.000","49.990.000","8.060.000","510.230.000","8.960.000","6.640.000","998.930.000","8.314.320.000","1.608.190.000","100.950.000","934.040.000","1.502.070.000","4.640.000","8.262.260.000","6.510.000","97.330.000"
"A_684495","Antes","192.280.000","10.130.000","18.230.000","259.130.000","4.320.000","14.160.000","531.600.000","42.140.000","118.580.000","27.050.000","7.390.000","174.380.000","24.700.000","15.940.000","5.640.000","15.158.470.000","13.000.000","87.580.000","39.430.000","42.050.000","30.890.000","133.460.000","3.013.850.000","1.064.010.000","8.098.120.000","273.540.000","36.870.000","21.890.000","87.840.000","108.590.000","196.230.000","9.470.000","8.700.000","1.553.610.000","545.420.000","211.070.000","508.410.000","2.680.000","202.900.000","812.840.000","3.450.000","210.010.000","49.490.000","2.271.560.000","25.150.000","72.280.000","24.190.000","138.120.000","185.650.000","143.860.000","121.340.000","9.310.000","95.230.000","1.332.770.000","2.452.510.000","6.416.050.000","3.897.210.000","2.860.000","86.860.000","2.568.470.000","269.060.000","115.160.000","11.651.600.000","13.450.000","173.680.000","3.970.000","54.780.000","697.860.000","6.680.000","7.450.000","4.440.000","66.180.000","46.760.000","16.550.000","3.940.000","200.410.000","1.080.000","210.030.000","13.645.480.000","6.450.000","27.570.000","178.960.000","24.420.000","81.850.000","14.840.150.000","337.560.000","63.710.000","104.850.000","158.030.000","1.497.480.000","16.530.000","169.030.000","17.670.000","325.080.000","3.078.730.000","310.480.000","880.000","12.610.000","126.030.000","32.880.000","31.630.000","57.790.000","15.860.000","609.630.000","1.723.530.000","10.070.000","4.326.920.000","106.410.000","1.888.620.000","130.790.000","81.680.000","90.140.000","5.248.850.000","2.573.020.000","14.781.530.000","75.110.000","99.350.000","101.710.000","96.970.000","6.715.230.000","2.579.370.000","1.683.440.000","39.280.000","13.661.020.000","321.020.000","14.150.000","26.860.000","18.880.000","20.100.000","6.526.410.000","5.580.000","2.949.430.000","5.600.800.000","1.102.960.000","9.827.330.000","191.910.000","425.330.000","667.590.000","29.150.000","13.072.880.000","42.360.000","63.230.000"
