"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"1-monoolein",-0.0089308,0.083481,0.094999,0.012413,-0.08536,0.041883,0.021529,0.018981,-0.0049331,-0.023028,0.015921,-0.0058004
"1-monostearin",0.0020658,0.030041,0.002104,-0.0019522,-0.014212,0.0052419,0.023329,-0.010816,-0.0022806,-0.0072564,0.064665,0.072581
"2-hydroxybutanoic acid",0.007574,0.042871,-0.04488,0.024631,0.0071691,-0.029735,-0.0034993,-0.037941,0.044039,0.038434,0.078179,-0.73939
"2-hydroxyglutaric acid",0.021008,0.011301,-0.022864,0.016755,0.026116,0.093403,0.025082,-0.020752,0.018508,0.03238,0.0054683,-0.065077
"2-ketoisocaproic acid",0.0022956,0.015473,-0.010297,-0.021407,0.0072273,-0.0042306,-0.020009,0.0082774,0.01244,0.006485,0.0064422,0.37977
"2-monopalmitin",-0.0034715,0.008239,-0.0047889,0.011931,0.015766,0.036685,0.029784,-0.0066605,0.01687,-0.0032373,0.03593,-0.026498
"2-monostearin NIST",0.017577,-0.0021335,0.0017016,0.052147,0.0053703,0.022077,-0.06023,0.058567,-0.010499,-0.042472,0.020042,0.28812
"3-aminoisobutyric acid",0.0053085,0.0633,-0.0088338,-0.072205,0.0062569,-0.026878,-0.052012,0.021398,0.072908,-0.030407,-0.032044,-0.17052
"3-hydroxybutanoic acid",0.0078649,0.0041797,-0.019054,-0.023562,-0.012283,-0.010776,-0.0095403,0.028397,-0.01903,-0.094172,-0.038528,0.18552
"3-hydroxypropionic acid",-0.0015357,0.038353,-0.027882,0.030353,0.015218,-0.04924,-0.027591,-0.0067934,0.017833,0.061668,0.059782,-0.021162
"3-phenyllactic acid",0.0039022,0.025021,-0.026904,-0.0075184,0.011106,-0.00087764,-0.0081767,-0.0052675,0.032835,-0.0062619,-0.00067556,0.13779
"5-aminovaleric acid",0.037064,0.11335,-0.33911,-0.25874,-0.022068,0.13019,0.20982,0.10128,0.00012394,-0.1704,-0.17767,-0.070481
"acetohydroxamic acid",0.0022197,0.019217,0.013107,1.795e-05,-0.006753,-0.012464,-0.0084423,0.008451,0.012707,0.014662,-0.0079515,0.0013856
