"","Samples","D_684508","D_684512","D_684516","D_684520","D_684524","D_684528","A_684483","A _684487","A_684491"
"1","Grupo","Despues","Despues","Despues","Despues","Despues","Despues","Antes transplantation","Antes transplantation","Antes transplantation"
"2","1-monoolein","6047.0000","2902.0000","1452.0000","3428.0000","2985.0000","16334.0000","244142.0000","6968.0000","1928.0000"
"3","1-monostearin","9771.0000","6521.0000","1302.0000","2781.0000","5789.0000","4338.0000","16848.0000","10206.0000","9398.0000"
"4","2-hydroxybutanoic acid","13238.0000","29774.0000","4134.0000","4419.0000","13334.0000","2115.0000","11587.0000","65635.0000","32433.0000"
"5","2-hydroxyglutaric acid","7160.0000","11501.0000","3202.0000","17238.0000","20376.0000","1109.0000","8276.0000","12402.0000","20964.0000"
"6","2-ketoisocaproic acid","812.0000","2011.0000","738.0000","2550.0000","871.0000","628.0000","2096.0000","3472.0000","10669.0000"
"7","2-monopalmitin","1511.0000","622.0000","883.0000","796.0000","623.0000","5716.0000","3405.0000","3196.0000","1457.0000"
"8","2-monostearin NIST","2060.0000","938.0000","397.0000","939.0000","1239.0000","1065.0000","6478.0000","17845.0000","3025.0000"
"9","3-aminoisobutyric acid","9147.0000","40522.0000","22759.0000","18715.0000","8964.0000","12366.0000","59944.0000","36613.0000","120554.0000"
"10","3-hydroxybutanoic acid","19381.0000","11203.0000","11711.0000","1426.0000","4410.0000","3356.0000","5506.0000","4003.0000","21119.0000"
"11","3-hydroxypropionic acid","2166.0000","8594.0000","3124.0000","4741.0000","3441.0000","2218.0000","8319.0000","56521.0000","19435.0000"
"12","3-phenyllactic acid","2633.0000","7480.0000","3305.0000","734.0000","943.0000","541.0000","2426.0000","12557.0000","17048.0000"
"13","5-aminovaleric acid","1501190.0000","836534.0000","711249.0000","619870.0000","126375.0000","150580.0000","76964.0000","511562.0000","1912850.0000"
"14","acetohydroxamic acid","662.0000","2877.0000","1952.0000","2788.0000","1445.0000","783.0000","9080.0000","5270.0000","4554.0000"
"15","acetophenone NIST","3382.0000","10745.0000","6759.0000","4902.0000","3094.0000","4200.0000","15999.0000","13696.0000","34497.0000"
"16","adipic acid","825.0000","3490.0000","1417.0000","2145.0000","1439.0000","1078.0000","2980.0000","2047.0000","6779.0000"
"17","alanine","1270281.0000","1391469.0000","861432.0000","996452.0000","1404666.0000","200022.0000","648513.0000","1693813.0000","2315068.0000"
"18","alpha ketoglutaric acid","240.0000","347.0000","215.0000","1660.0000","879.0000","112.0000","1676.0000","2602.0000","1380.0000"
"19","aminomalonate","2511.0000","5903.0000","1736.0000","7509.0000","5187.0000","413.0000","3861.0000","1772.0000","3231.0000"
"20","arabinose","867.0000","965.0000","1427.0000","4682.0000","1370.0000","739.0000","3535.0000","3188.0000","2986.0000"
"21","arabitol","1534.0000","1147.0000","1232.0000","753.0000","7586.0000","558.0000","2961.0000","2508.0000","3721.0000"
"22","arachidic acid","924.0000","874.0000","5941.0000","2843.0000","552.0000","6467.0000","4588.0000","7180.0000","825.0000"
"23","arachidonic acid","35469.0000","8788.0000","8700.0000","9300.0000","12034.0000","7634.0000","6903.0000","29229.0000","9404.0000"
"24","arginine + ornithine","182457.0000","96805.0000","50449.0000","93869.0000","80062.0000","32119.0000","41185.0000","85926.0000","126418.0000"
"25","asparagine","20202.0000","18288.0000","18715.0000","92178.0000","56070.0000","5353.0000","21915.0000","25104.0000","43070.0000"
"26","aspartic acid","99548.0000","305598.0000","155995.0000","330864.0000","201388.0000","34084.0000","25672.0000","177059.0000","83154.0000"
"27","behenic acid","8140.0000","14017.0000","28915.0000","11843.0000","6139.0000","15134.0000","52030.0000","42960.0000","16423.0000"
"28","benzoic acid","4714.0000","74353.0000","5003.0000","22050.0000","16377.0000","5028.0000","37298.0000","16114.0000","41580.0000"
"29","benzylalcohol","2772.0000","14543.0000","6383.0000","8068.0000","7270.0000","3541.0000","19171.0000","11318.0000","35194.0000"
"30","beta-alanine","1075.0000","2013.0000","783.0000","5839.0000","736.0000","354.0000","1699.0000","1182.0000","2077.0000"
"31","beta-gentiobiose","616.0000","1199.0000","381.0000","673.0000","1343.0000","425.0000","2096.0000","928.0000","1612.0000"
"32","beta-sitosterol","4527.0000","14937.0000","4937.0000","7729.0000","20630.0000","9030.0000","8939.0000","7337.0000","5766.0000"
"33","caffeic acid","1107.0000","3499.0000","769.0000","2161.0000","1929.0000","1402.0000","1209.0000","751.0000","8456.0000"
"34","cerotic acid","674.0000","2773.0000","1319.0000","2027.0000","1636.0000","2187.0000","2927.0000","2877.0000","6689.0000"
"35","cholesterol","834010.0000","2165933.0000","149124.0000","854929.0000","381349.0000","378719.0000","211857.0000","165395.0000","270794.0000"
"36","citric acid","3849.0000","1943.0000","778.0000","23570.0000","14681.0000","664.0000","12321.0000","6972.0000","30195.0000"
"37","citrulline","40775.0000","18557.0000","16120.0000","16294.0000","22821.0000","5951.0000","9926.0000","6561.0000","9024.0000"
"38","creatinine","170545.0000","21561.0000","63410.0000","794.0000","171620.0000","13563.0000","287310.0000","119065.0000","101944.0000"
"39","cyano-L-alanine","107.0000","480.0000","237.0000","342.0000","390.0000","128.0000","688.0000","192.0000","3883.0000"
"40","cysteine","18679.0000","30162.0000","8226.0000","5341.0000","20632.0000","1696.0000","5736.0000","5141.0000","5850.0000"
"41","cystine","11116.0000","13704.0000","3975.0000","27107.0000","28925.0000","1683.0000","29350.0000","957.0000","1096.0000"
"42","dihydroabietic acid","647.0000","2270.0000","757.0000","855.0000","927.0000","881.0000","952.0000","1300.0000","2509.0000"
"43","elaidic acid","19069.0000","9996.0000","24388.0000","5115.0000","658.0000","95170.0000","28282.0000","100557.0000","4566.0000"
"44","erythritol","1850.0000","624.0000","1003.0000","232.0000","6270.0000","158.0000","13232.0000","17946.0000","2135.0000"
"45","ethanolamine","304432.0000","293817.0000","442421.0000","612937.0000","563961.0000","370312.0000","1651201.0000","823024.0000","2458026.0000"
"46","fructose","231.0000","854.0000","240.0000","2898.0000","2017.0000","161.0000","1649.0000","1870.0000","9301.0000"
"47","fucose 1 + rhamnose 2","196614.0000","121656.0000","8961.0000","45593.0000","112318.0000","33314.0000","41893.0000","122773.0000","548433.0000"
"48","fucose 2","52475.0000","38593.0000","3069.0000","12527.0000","33570.0000","9061.0000","11755.0000","35179.0000","161541.0000"
"49","fumaric acid","5669.0000","66879.0000","2983.0000","35720.0000","11684.0000","1704.0000","24521.0000","6456.0000","5895.0000"
"50","GABA","10186.0000","64825.0000","12519.0000","38846.0000","13015.0000","5819.0000","11223.0000","26548.0000","235832.0000"
"51","galactose","4026.0000","7220.0000","45869.0000","4750.0000","30979.0000","6091.0000","1250117.0000","9592.0000","7592.0000"
"52","galacturonic acid","15223.0000","13390.0000","5752.0000","3081.0000","67662.0000","2333.0000","2288.0000","10748.0000","43031.0000"
"53","gamma-tocopherol","394.0000","2555.0000","1335.0000","860.0000","491.0000","1309.0000","1281.0000","1962.0000","1799.0000"
"54","gluconic acid","95.0000","336.0000","135.0000","743.0000","196.0000","48.0000","455.0000","675.0000","3018.0000"
"55","glucose","38129.0000","148455.0000","45770.0000","111537.0000","49202.0000","17973.0000","3937010.0000","12422.0000","62106.0000"
"56","glucuronic acid","2500.0000","12527.0000","1881.0000","2576.0000","94705.0000","475.0000","33230.0000","7151.0000","75600.0000"
"57","glutamic acid","148951.0000","156303.0000","78642.0000","299297.0000","174935.0000","28947.0000","102170.0000","201792.0000","706098.0000"
"58","glutamine","127479.0000","153956.0000","84261.0000","226672.0000","182623.0000","22210.0000","34784.0000","72795.0000","87198.0000"
"59","glutaric acid","382.0000","3653.0000","1135.0000","807.0000","442.0000","223.0000","975.0000","1291.0000","2096.0000"
"60","glyceric acid","6124.0000","2845.0000","2865.0000","16724.0000","7958.0000","1095.0000","8016.0000","15024.0000","6315.0000"
"61","glycerol","67965.0000","60928.0000","190113.0000","203316.0000","113990.0000","129113.0000","898335.0000","28720.0000","91701.0000"
"62","glycerol-3-galactoside NIST","384.0000","453.0000","340.0000","606.0000","657.0000","107.0000","22454.0000","933.0000","774.0000"
"63","glycerol-alpha-phosphate","2872.0000","2805.0000","2013.0000","15505.0000","4197.0000","1847.0000","2544.0000","12149.0000","774.0000"
"64","glycine","276549.0000","667989.0000","385936.0000","915236.0000","1988850.0000","82748.0000","930111.0000","342356.0000","994160.0000"
"65","glycolic acid","1174.0000","4194.0000","1749.0000","2541.0000","1900.0000","1004.0000","6941.0000","4234.0000","9669.0000"
"66","glycyl proline","9997.0000","28351.0000","9292.0000","17054.0000","13263.0000","10803.0000","872.0000","11864.0000","4992.0000"
"67","guanine","3569.0000","2237.0000","98.0000","20092.0000","114.0000","106.0000","554.0000","214.0000","464.0000"
"68","guanosine","523.0000","6359.0000","226.0000","12045.0000","621.0000","296.0000","1346.0000","218.0000","683.0000"
"69","heptadecanoic acid","21121.0000","15542.0000","39370.0000","14075.0000","5346.0000","101891.0000","55279.0000","110099.0000","26711.0000"
"70","homoserine","1056.0000","557.0000","433.0000","711.0000","606.0000","161.0000","390.0000","764.0000","1457.0000"
"71","hydrocinnamic acid","1205.0000","23385.0000","47891.0000","9855.0000","1199.0000","717.0000","2984.0000","1876.0000","55023.0000"
"72","hydroxycarbamate NIST","355.0000","2654.0000","390.0000","1699.0000","800.0000","904.0000","1029.0000","600.0000","1844.0000"
"73","hydroxylamine","4567.0000","24896.0000","7662.0000","19581.0000","20097.0000","11668.0000","34332.0000","14613.0000","40928.0000"
"74","icosenoic acid","232502.0000","12010.0000","13639.0000","3484.0000","9118.0000","46601.0000","15685.0000","42453.0000","90540.0000"
"75","indole-3-acetate","2807.0000","2735.0000","635.0000","602.0000","233.0000","81.0000","838.0000","1439.0000","1051.0000"
"76","indole-3-lactate","2500.0000","22614.0000","1130.0000","509.0000","617.0000","235.0000","673.0000","8576.0000","4560.0000"
"77","inosine","1020.0000","4417.0000","384.0000","26140.0000","1781.0000","497.0000","2472.0000","404.0000","1980.0000"
"78","inositol-4-monophosphate","538.0000","3804.0000","173.0000","939.0000","142.0000","323.0000","309.0000","294.0000","664.0000"
"79","inositol myo-","1393.0000","8686.0000","5249.0000","7485.0000","30490.0000","357.0000","16955.0000","3546.0000","19648.0000"
"80","isoleucine","870042.0000","680356.0000","276395.0000","757283.0000","680840.0000","159157.0000","302399.0000","684828.0000","235961.0000"
"81","isolinoleic acid NIST","14900.0000","10916.0000","22319.0000","3288.0000","4918.0000","12324.0000","2441.0000","29391.0000","9553.0000"
"82","isothreonic acid","410.0000","1262.0000","166.0000","186.0000","1491.0000","152.0000","1932.0000","568.0000","1631.0000"
"83","lactic acid","14188.0000","13643.0000","6793.0000","16549.0000","22389.0000","3365.0000","166684.0000","213183.0000","464763.0000"
"84","lanosterol","1872.0000","4719.0000","697.0000","7827.0000","1116.0000","1701.0000","2177.0000","1444.0000","4508.0000"
"85","lauric acid","10248.0000","54995.0000","23147.0000","28192.0000","14458.0000","12768.0000","42464.0000","36652.0000","133352.0000"
"86","leucine","136569.0000","1384304.0000","434294.0000","340957.0000","1737424.0000","107211.0000","477092.0000","920181.0000","242708.0000"
"87","levanbiose","149.0000","730.0000","202.0000","1074.0000","687.0000","164.0000","5200.0000","27009.0000","1580.0000"
"88","levoglucosan","7840.0000","7081.0000","356.0000","796.0000","4835.0000","474.0000","18700.0000","4638.0000","8159.0000"
"89","lignoceric acid","1952.0000","10743.0000","11198.0000","6139.0000","174531.0000","7499.0000","20036.0000","15741.0000","8069.0000"
"90","linoleic acid","26601.0000","5502.0000","26999.0000","2972.0000","3779.0000","4440.0000","19010.0000","50768.0000","7095.0000"
"91","lysine","824015.0000","658892.0000","395603.0000","642425.0000","669875.0000","101440.0000","219832.0000","112992.0000","572416.0000"
"92","lyxitol","3045.0000","2185.0000","795.0000","743.0000","3752.0000","362.0000","2801.0000","1632.0000","4837.0000"
"93","malate","2197.0000","4115.0000","1281.0000","2772.0000","5374.0000","227.0000","3332.0000","15140.0000","3818.0000"
"94","maleimide","10774.0000","9974.0000","2471.0000","2373.0000","6026.0000","1494.0000","2977.0000","4796.0000","2618.0000"
"95","methanolphosphate","793631.0000","245085.0000","429655.0000","560169.0000","48124.0000","303347.0000","1656.0000","1022.0000","954.0000"
"96","methionine","213251.0000","105358.0000","61113.0000","111366.0000","140044.0000","23366.0000","19152.0000","37083.0000","36168.0000"
"97","methionine sulfoxide","19061.0000","30265.0000","5681.0000","12617.0000","11843.0000","2773.0000","15256.0000","9944.0000","8572.0000"
"98","monomyristin NIST","223.0000","491.0000","228.0000","228.0000","262.0000","556.0000","1480.0000","430.0000","1012.0000"
"99","monopalmitin-1-glyceride","11009.0000","5989.0000","1162.0000","2793.0000","3558.0000","25821.0000","12712.0000","10862.0000","10559.0000"
"100","myristic acid","3839.0000","8440.0000","12687.0000","5316.0000","2469.0000","17639.0000","9608.0000","36154.0000","11546.0000"
